numpar_candidates_eff,mv_incparty,mv_incpartyfor1,party_PT_wonlag1_b1,party_PMDB_wonlag1_b1,party_DEM_wonlag1_b1,party_PSDB_wonlag1_b1,population,pibpc
1.941938,,,,,,,25793,
1.9947664,,,,,,,14430,
1.7577312,,,,,,,17310,
1.9899319,,,,,,,7924,
2.7972419,,,,,,,32781,
1.9941722,,,,,,,28366,
1.9293535,,,,,,,25006,
1.8387687,,,,,,,6755,
2.0287116,,,,,,,9751,
2.0163774,,,,,,,20724,
1.9608618,,,,,,,30938,
4.5284901,,,,,,,45088,
1.9955007,,,,,,,13948,
2.2975307,,,,,,,160065,
2.2894368,,,,,,,82064,
1.9948205,,,,,,,18466,
1.9972814,,,,,,,7313,
2.0400388,,,,,,,25555,
2.202472,,,,,,,38377,
1.9725955,,,,,,,10769,
2.112236,,,,,,,24138,
1.9965596,,,,,,,12107,
1.9990203,,,,,,,10579,
1.8893955,,,,,,,29539,
1.9997611,,,,,,,39403,
2.3954651,,,,,,,15451,
1.9964551,,,,,,,60426,
2.2461395,,,,,,,6689,
1.9924538,,,,,,,15741,
1.9766332,,,,,,,12495,
2.1916337,,,,,,,8197,
1.9796565,,,,,,,11303,
2.0362637,,,,,,,29416,
1.9758301,,,,,,,25455,
1.7210572,,,,,,,20328,
1.9531193,,,,,,,21336,
3.1348641,,,,,,,37076,
2.7510178,,,,,,,43594,
1.9354857,,,,,,,10972,
1.8676755,,,,,,,5353,
1.9999967,,,,,,,7728,
2.0104172,,,,,,,9873,
1.9721068,,,,,,,23018,
2.5702937,,,,,,,20803,
1.9727362,,,,,,,30948,
1.9066541,,,,,,,11267,
1.9492666,,,,,,,37823,
1.9992979,,,,,,,6238,
3.1943591,,,,,,,28675,
1.7793533,,,,,,,13868,
1.9977207,,,,,,,13577,
2.0597904,,,,,,,12765,
2.017765,,,,,,,10457,
1.9552906,,,,,,,11381,
1.9982113,,,,,,,15154,
1.9852842,,,,,,,8314,
1.9657048,,,,,,,5816,
1.9772925,,,,,,,17709,
2.1239777,,,,,,,64442,
1.9650222,,,,,,,15067,
1.556251,,,,,,,56697,
1.986735,,,,,,,15274,
1.8544956,,,,,,,21972,
1.9746436,,,,,,,20114,
2.9445038,,,,,,,51910,
2.0921292,,,,,,,16344,
2.0136695,,,,,,,12442,
1.9996557,,,,,,,25513,
1.9718857,,,,,,,16300,
2.4526265,,,,,,,39485,
1.9989815,,,,,,,37816,
2.1686385,,,,,,,32687,
1.9949511,,,,,,,8363,
2.1332026,,,,,,,11000,
2.8928301,,,,,,,8979,
2.2433035,,,,,,,25164,
2.8433371,,,,,,,5512,
2.0587139,,,,,,,138565,
1.9818385,,,,,,,16198,
2.1311667,,,,,,,26692,
1.9988081,,,,,,,27265,
1.9850981,,,,,,,7880,
2.8935897,,,,,,,50258,
1.9158133,,,,,,,11286,
2.0970623,,,,,,,49243,
2.6463387,,,,,,,39398,
1.9984151,,,,,,,10653,
2.0461361,,,,,,,26164,
1.4497766,,,,,,,7590,
1.9970313,,,,,,,15256,
1.9881933,,,,,,,15345,
1.9994363,,,,,,,10115,
1.9811063,,,,,,,14261,
2.2852952,,,,,,,32898,
2.4791307,,,,,,,43138,
1.9767534,,,,,,,30290,
1.7676263,,,,,,,12749,
2.8018255,,,,,,,9784,
2.0358372,,,,,,,31832,
2.0126798,,,,,,,13089,
2.0122159,,,,,,,7158,
2.0669017,,,,,,,17327,
1.5177143,,,,,,,6863,
2.9238992,,,,,,,59565,
1.8923951,,,,,,,7032,
2.0614657,,,,,,,26580,
1.9016134,,,,,,,36635,
1.9807426,,,,,,,13241,
2.0078208,,,,,,,8608,
1.9999771,,,,,,,9943,
2.1169248,,,,,,,150359,
3.2347965,,,,,,,301183,
2.0047741,,,,,,,29523,
2.2987041,,,,,,,104545,
2.543385,,,,,,,25507,
3.2070038,,,,,,,10136,
2.8158038,,,,,,,4385,
2.0372193,,,,,,,26130,
2.65083,,,,,,,5649,
3.0369642,,,,,,,21941,
2.0200951,,,,,,,11339,
2.310029,,,,,,,23820,
1.9671236,,,,,,,73730,
1.9451321,,,,,,,16558,
1.9593433,,,,,,,9671,
2.0427928,,,,,,,7998,
1.9908451,,,,,,,11114,
1.9855478,,,,,,,10050,
2.3321073,,,,,,,14154,
2.7787273,,,,,,,25178,
1.8655736,,,,,,,10871,
1,,,,,,,24558,
1.4415697,,,,,,,17626,
4.0372128,,,,,,,9560,
1.4413358,,,,,,,14259,
2.0285039,,,,,,,10630,
2.1060379,,,,,,,103186,
1.9980464,,,,,,,12239,
2.9936688,,,,,,,26069,
1.297868,,,,,,,10904,
1.9787521,,,,,,,9436,
3.0254171,,,,,,,24872,
2.0525327,,,,,,,18041,
1.9991826,,,,,,,6050,
1.9478385,,,,,,,19734,
3.385952,,,,,,,13254,
1.9336964,,,,,,,41543,
2.4107041,,,,,,,20080,
2.0410938,,,,,,,22455,
2.6330109,,,,,,,21159,
2.3858664,,,,,,,12227,
